Ano;ID;TIPO DO CRIME;BAIRRO;HORA;LOCAL
2018;90;ROUBO;CENTRO;12;SAUDE
2018;91;ROUBO;LINDOIA;18;PUBLICO
2018;92;ROUBO;NOVO MUNDO;6;PUBLICO
2018;93;LESAO CORPORAL;PORTAO;20;PUBLICO
2018;94;ROUBO;PORTAO;20;PUBLICO
2018;95;ROUBO;PORTAO;6;PUBLICO
2018;96;ROUBO;CENTRO;13;SAUDE
2018;97;ROUBO;GUAIRA;6;PUBLICO
2018;98;FURTO QUALIFICADO;CAJURU;23;PUBLICO
2018;99;ROUBO;BIGORRILHO;19;PUBLICO
2018;100;ROUBO;CENTRO;11;SAUDE
2018;101;ROUBO;BIGORRILHO;15;SAUDE
2018;102;LESAO CORPORAL;CAPAO RASO;5;PUBLICO
2018;103;LESAO CORPORAL;CAPAO RASO;5;VEICULO
2018;104;FURTO SIMPLES;BAIRRO ALTO;17;RESIDENCIA
2018;105;ROUBO;MERCES;1;PUBLICO
2018;106;LESAO CORPORAL;UBERABA;18;PUBLICO
2018;107;ROUBO;CAPAO RASO;21;PUBLICO
2018;108;FURTO SIMPLES;TATUQUARA;5;VEICULO
2018;109;LESAO CORPORAL;CAMPO DE SANTANA;1;RESIDENCIA
2018;110;FURTO SIMPLES;GUAIRA;5;RESIDENCIA
2018;111;FURTO SIMPLES;FANNY;8;RESIDENCIA
2018;112;FURTO SIMPLES;JARDIM BOTANICO;13;TRANSPORTE
2018;113;FURTO QUALIFICADO;UBERABA;11;RESIDENCIA
2018;114;FURTO QUALIFICADO;PINHEIRINHO;3;COMERCIO
2018;115;ROUBO;CAPAO RASO;20;PUBLICO
2018;116;FURTO SIMPLES;CIDADE INDUSTRIAL;12;MERCADO
2018;117;ROUBO;PORTAO;15;PUBLICO
2018;118;FURTO SIMPLES;JARDIM BOTANICO;15;TRANSPORTE
2018;119;ROUBO;CIDADE INDUSTRIAL;10;PUBLICO
2018;120;ROUBO;CIDADE INDUSTRIAL;14;ALIMENTACAO / DIVERSAO
2018;121;ROUBO;CIDADE INDUSTRIAL;11;PUBLICO
2018;122;FURTO QUALIFICADO;CIDADE INDUSTRIAL;14;PUBLICO
2018;123;ROUBO;BOQUEIRAO;19;PUBLICO
2018;124;LESAO CORPORAL;TATUQUARA;13;COMERCIO
2018;125;FURTO QUALIFICADO;CAPAO RASO;14;RESIDENCIA
2018;126;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;CENTRO;21;ALIMENTACAO / DIVERSAO
2018;127;FURTO QUALIFICADO;FAZENDINHA;3;RESIDENCIA
2018;128;ROUBO;JARDIM BOTANICO;23;PUBLICO
2018;129;ROUBO;PINHEIRINHO;21;PUBLICO
2018;130;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;CIDADE INDUSTRIAL;0;PUBLICO
2018;131;ROUBO;PINHEIRINHO;21;PUBLICO
2018;132;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;SITIO CERCADO;3;PUBLICO
2018;133;FURTO QUALIFICADO;CRISTO REI;21;COMERCIO
2018;134;ROUBO;CAPAO RASO;21;PUBLICO
2018;135;ROUBO;GUABIROTUBA;19;PUBLICO
2018;136;ROUBO;CAPAO DA IMBUIA;21;PUBLICO
2018;137;LESAO CORPORAL;ATUBA;22;RESIDENCIA
2018;138;LESAO CORPORAL;PORTAO;7;RESIDENCIA
2018;139;ROUBO;PINHEIRINHO;15;COMERCIO
