id;crime;bairro;hora;local
293;ROUBO;JARDIM BOTANICO;23;PUBLICO
296;ROUBO;PINHEIRINHO;21;PUBLICO
306;ROUBO;PINHEIRINHO;21;PUBLICO
308;FURTO QUALIFICADO;CRISTO REI;21;COMERCIO
313;ROUBO;CAPAO RASO;21;PUBLICO
315;ROUBO;GUABIROTUBA;19;PUBLICO
316;ROUBO;CAPAO DA IMBUIA;21;PUBLICO
320;ROUBO;PINHEIRINHO;15;COMERCIO
321;FURTO QUALIFICADO;NOVO MUNDO;2;COMERCIO
324;FURTO QUALIFICADO;NOVO MUNDO;18;RESIDENCIA
325;ROUBO;NOVO MUNDO;8;PUBLICO
327;FURTO QUALIFICADO;NOVO MUNDO;10;PUBLICO
329;FURTO QUALIFICADO;GANCHINHO;13;RESIDENCIA
331;FURTO QUALIFICADO;BOQUEIRAO;10;RESIDENCIA
334;ROUBO;SITIO CERCADO;22;PUBLICO
335;ROUBO;TATUQUARA;20;RESIDENCIA
336;ROUBO;CAMPO DE SANTANA;15;PUBLICO
337;FURTO QUALIFICADO;BARREIRINHA;21;RESIDENCIA
341;FURTO QUALIFICADO;BOQUEIRAO;2;RESIDENCIA
345;ROUBO;SITIO CERCADO;11;PUBLICO
347;ROUBO;TATUQUARA;0;PUBLICO
350;FURTO QUALIFICADO;HAUER;11;PUBLICO
352;ROUBO;CAPAO RASO;19;PUBLICO
354;ROUBO;SEMINARIO;11;SAUDE
363;FURTO SIMPLES;PORTAO;14;COMERCIO
364;FURTO SIMPLES;PORTAO;14;PUBLICO
377;FURTO QUALIFICADO;AHU;15;PUBLICO
378;FURTO QUALIFICADO;AHU;15;RESIDENCIA
404;ROUBO;CIDADE INDUSTRIAL;15;COMERCIO
405;ROUBO;CIDADE INDUSTRIAL;15;RESIDENCIA
408;ROUBO;CENTRO;3;PUBLICO
416;ROUBO;CENTRO;6;ATIVIDADE FINANCEIRA
417;ROUBO;JARDIM BOTANICO;22;PUBLICO
418;ROUBO;GUABIROTUBA;11;PUBLICO
420;ROUBO;CRISTO REI;8;PUBLICO
421;FURTO QUALIFICADO;CENTRO;7;ALIMENTACAO / DIVERSAO
422;FURTO SIMPLES;JARDIM BOTANICO;8;TRANSPORTE
423;FURTO SIMPLES;JARDIM BOTANICO;0;RESIDENCIA
426;ROUBO;TATUQUARA;11;MERCADO
427;ROUBO;TATUQUARA;15;COMERCIO
428;FURTO SIMPLES;JARDIM BOTANICO;10;TRANSPORTE
433;FURTO SIMPLES;PINHEIRINHO;11;COMERCIO
441;FURTO SIMPLES;JARDIM BOTANICO;15;PUBLICO
444;ROUBO;FAZENDINHA;16;PUBLICO
450;ROUBO;FAZENDINHA;9;PUBLICO
455;FURTO QUALIFICADO;GANCHINHO;15;RESIDENCIA
467;ROUBO;CIDADE INDUSTRIAL;21;PUBLICO
482;FURTO QUALIFICADO;CIDADE INDUSTRIAL;20;RESIDENCIA
493;FURTO QUALIFICADO;CIDADE INDUSTRIAL;21;RESIDENCIA
503;FURTO SIMPLES;CAMPO DE SANTANA;9;COMERCIO
504;FURTO QUALIFICADO;FAZENDINHA;19;PUBLICO
509;ROUBO;JARDIM BOTANICO;15;PUBLICO
514;FURTO QUALIFICADO;SITIO CERCADO;17;OUTROS
524;FURTO QUALIFICADO;CIDADE INDUSTRIAL;20;COMERCIO
527;FURTO SIMPLES;JARDIM BOTANICO;23;TRANSPORTE
557;FURTO QUALIFICADO;CRISTO REI;16;ALIMENTACAO / DIVERSAO
561;FURTO QUALIFICADO;REBOUCAS;5;ENSINO
563;ROUBO;JARDIM DAS AMERICAS;15;PUBLICO
564;FURTO QUALIFICADO;ALTO BOQUEIRAO;11;RESIDENCIA
565;ROUBO;BAIRRO ALTO;16;PUBLICO
566;ROUBO;AGUA VERDE;19;SAUDE
568;ROUBO;CRISTO REI;4;PUBLICO
569;ROUBO;CRISTO REI;7;MERCADO
570;FURTO SIMPLES;AGUA VERDE;22;MERCADO
571;ROUBO;CAPAO RASO;19;PUBLICO
573;ROUBO;VISTA ALEGRE;16;COMERCIO
574;ROUBO;PILARZINHO;16;PUBLICO
575;ROUBO;NOVO MUNDO;18;MERCADO
576;ROUBO;VISTA ALEGRE;18;PUBLICO
577;FURTO QUALIFICADO;AGUA VERDE;6;ENSINO
578;FURTO QUALIFICADO;PORTAO;20;ENSINO
589;ROUBO;SITIO CERCADO;18;SAUDE
590;ROUBO;PILARZINHO;22;PUBLICO
592;ROUBO;AGUA VERDE;4;RESIDENCIA
593;ROUBO;BOQUEIRAO;18;PUBLICO
594;FURTO QUALIFICADO;BIGORRILHO;19;RESIDENCIA
595;FURTO QUALIFICADO;SAO FRANCISCO;15;PUBLICO
596;FURTO QUALIFICADO;ALTO DA RUA XV;3;COMERCIO
611;FURTO QUALIFICADO;FAZENDINHA;0;RESIDENCIA
612;ROUBO;CENTRO;23;COMERCIO
613;ROUBO;CENTRO;23;PUBLICO
614;FURTO QUALIFICADO;ALTO DA RUA XV;3;RESIDENCIA
618;ROUBO;CIDADE INDUSTRIAL;5;PUBLICO
622;FURTO QUALIFICADO;UBERABA;9;PUBLICO
623;ROUBO;JARDIM BOTANICO;10;PUBLICO
625;ROUBO;CIDADE INDUSTRIAL;6;PUBLICO
629;ROUBO;BAIRRO ALTO;14;OUTROS
630;ROUBO;ORLEANS;6;PUBLICO
631;ROUBO;SANTO INACIO;21;RESIDENCIA
636;ROUBO;SANTA QUITERIA;18;PUBLICO
637;FURTO QUALIFICADO;CIDADE INDUSTRIAL;5;PUBLICO
638;ROUBO;GUAIRA;13;PUBLICO
646;FURTO SIMPLES;JARDIM BOTANICO;17;TRANSPORTE
648;ROUBO;CIDADE INDUSTRIAL;12;COMERCIO
649;ROUBO;BACACHERI;4;SAUDE
650;FURTO QUALIFICADO;CIDADE INDUSTRIAL;10;COMERCIO
651;FURTO QUALIFICADO;TATUQUARA;18;RESIDENCIA
653;ROUBO;GUAIRA;19;PUBLICO
658;FURTO DE COISA COMUM;CENTRO;20;COMERCIO
662;ROUBO;PINHEIRINHO;19;PUBLICO
670;ROUBO;UBERABA;6;COMERCIO
674;ROUBO;CIDADE INDUSTRIAL;10;PUBLICO
679;ROUBO;CIDADE INDUSTRIAL;0;PUBLICO
682;ROUBO;PORTAO;0;SAUDE
683;FURTO QUALIFICADO;FANNY;9;INDUSTRIA
684;FURTO SIMPLES;CAJURU;14;PUBLICO
685;FURTO QUALIFICADO;FANNY;9;PRESTACAO DE SERVICOS
688;FURTO QUALIFICADO;BAIRRO ALTO;18;COMERCIO
689;ROUBO;CENTRO;14;COMERCIO
692;FURTO SIMPLES;CAPAO DA IMBUIA;17;RESIDENCIA
696;ROUBO;JARDIM DAS AMERICAS;21;SAUDE
699;ROUBO;BACACHERI;22;SAUDE
702;ROUBO;CENTRO;13;SAUDE
703;FURTO QUALIFICADO;MERCES;18;RESIDENCIA
704;FURTO QUALIFICADO;CENTRO;7;COMERCIO
707;ROUBO;CENTRO;10;SAUDE
709;FURTO QUALIFICADO;SAO FRANCISCO;15;RESIDENCIA
710;ROUBO;CENTRO;23;PUBLICO
711;ROUBO;CENTRO;23;PUBLICO
715;FURTO QUALIFICADO;JUVEVE;9;PUBLICO
716;FURTO QUALIFICADO;JUVEVE;9;RESIDENCIA
717;ROUBO;CAMPO DE SANTANA;20;PUBLICO
719;FURTO QUALIFICADO;CENTRO;7;ALIMENTACAO / DIVERSAO
720;ROUBO;PAROLIN;19;PUBLICO
721;FURTO QUALIFICADO;BAIRRO ALTO;22;RELIGIOSOS
722;ROUBO;PINHEIRINHO;18;COMERCIO
725;ROUBO;CAMPINA DO SIQUEIRA;9;MERCADO
727;ROUBO;PINHEIRINHO;0;PUBLICO
730;ROUBO;CENTRO CIVICO;23;PUBLICO
731;FURTO SIMPLES;CENTRO;15;TRANSPORTE
732;ROUBO;BATEL;0;RESIDENCIA
733;FURTO DE COISA COMUM;CENTRO;14;COMERCIO
736;ROUBO;CENTRO;8;SAUDE
738;FURTO QUALIFICADO;XAXIM;13;PUBLICO
739;ROUBO;SEMINARIO;3;SAUDE
744;FURTO QUALIFICADO;PINHEIRINHO;0;COMERCIO
749;ROUBO;CAJURU;13;PUBLICO
751;FURTO SIMPLES;JARDIM BOTANICO;18;TRANSPORTE
753;ROUBO;CIDADE INDUSTRIAL;16;PUBLICO
755;ROUBO;PINHEIRINHO;17;PUBLICO
756;ROUBO;PINHEIRINHO;17;VEICULO
757;FURTO QUALIFICADO;FAZENDINHA;14;RESIDENCIA
760;ROUBO;CIDADE INDUSTRIAL;16;PUBLICO
761;ROUBO;CIDADE INDUSTRIAL;20;PUBLICO
766;FURTO QUALIFICADO;CIDADE INDUSTRIAL;22;PUBLICO
781;FURTO SIMPLES;CAJURU;21;RESIDENCIA
782;ROUBO;CAJURU;20;SAUDE
785;FURTO QUALIFICADO;CAJURU;15;RESIDENCIA
786;FURTO QUALIFICADO;CIDADE INDUSTRIAL;16;PUBLICO
787;FURTO QUALIFICADO;CIDADE INDUSTRIAL;16;RESIDENCIA
792;FURTO QUALIFICADO;UBERABA;13;RESIDENCIA
798;FURTO QUALIFICADO;AGUA VERDE;20;PUBLICO
800;FURTO QUALIFICADO;AGUA VERDE;15;PUBLICO
802;FURTO SIMPLES;AGUA VERDE;20;PUBLICO
804;ROUBO;CRISTO REI;16;COMERCIO
805;FURTO QUALIFICADO;PAROLIN;8;RESIDENCIA
806;FURTO QUALIFICADO;PORTAO;21;ASSOCIACAO
807;FURTO SIMPLES;CAJURU;21;PUBLICO
808;FURTO QUALIFICADO;FANNY;4;PRESTACAO DE SERVICOS
809;FURTO SIMPLES;NOVO MUNDO;7;RESIDENCIA
810;FURTO QUALIFICADO;CENTRO;11;COMERCIO
811;FURTO QUALIFICADO;FANNY;12;PUBLICO
